path	area	name	address	visited
12-setagaya/05-tamagawadai	世田谷区	玉川台図書館	世田谷区玉川台一丁目 6-15	1
12-setagaya/06-daita	世田谷区	代田図書館	世田谷区代田六丁目 34-13	1
12-setagaya/07-karasuyama	世田谷区	烏山図書館	世田谷区南烏山六丁目 2-19	1
12-setagaya/08-shimouma	世田谷区	下馬図書館	世田谷区下馬二丁目 32-1	1
12-setagaya/09-fukasawa	世田谷区	深沢図書館	世田谷区深沢四丁目 33-11	1
12-setagaya/10-sakuragaoka	世田谷区	桜丘図書館	世田谷区桜丘五丁目 14-1	1
12-setagaya/11-oyamadai	世田谷区	尾山台図書館	世田谷区等々力二丁目 17-14	1
12-setagaya/12-kamikitazawa	世田谷区	上北沢図書館	世田谷区上北沢三丁目 8-9	1
12-setagaya/13-kasuya	世田谷区	粕谷図書館	世田谷区粕谷四丁目 13-6	1
12-setagaya/14-kamata	世田谷区	鎌田図書館	世田谷区鎌田三丁目 35-1	1
12-setagaya/15-kyodo	世田谷区	経堂図書館	世田谷区宮坂三丁目 1-30	1
12-setagaya/16-matsuzawa	世田谷区	松沢図書室	世田谷区赤堤五丁目 31-5	1
12-setagaya/17-ikejiri	世田谷区	池尻図書室	世田谷区池尻三丁目 27-21	1
12-setagaya/18-noge	世田谷区	野毛図書室	世田谷区野毛二丁目 15-19	1
12-setagaya/19-kibogaoka	世田谷区	希望丘図書室	世田谷区船橋七丁目 8-4	1
12-setagaya/20-kitami	世田谷区	喜多見図書室	世田谷区喜多見五丁目 11-10	1
12-setagaya/21-sangenjaya	世田谷区	図書館カウンター三軒茶屋	世田谷区太子堂四丁目 3-1	-1
12-setagaya/22-futakotamagawa	世田谷区	図書館カウンター二子玉川	世田谷区玉川一丁目 14-1	-1
13-shibuya/00-central	渋谷区	中央図書館	渋谷区神宮前一丁目 4-1	1
13-shibuya/01-nishihara	渋谷区	西原図書館	渋谷区西原二丁目 28-9	1
13-shibuya/02-shibuya	渋谷区	渋谷図書館	渋谷区東一丁目 6-6	1
13-shibuya/03-tomigaya	渋谷区	富ヶ谷図書館	渋谷区上原一丁目 46-2	1
13-shibuya/04-sasazuka	渋谷区	笹塚図書館	渋谷区笹塚一丁目 47-1 メルクマール京王笹塚 4 階	1
13-shibuya/05-honmachi	渋谷区	本町図書館	渋谷区本町一丁目 33-5	1
13-shibuya/06-owada	渋谷区	こもれび大和田図書館	渋谷区桜丘町 23-21 文化総合センター大和田 2 階	1
13-shibuya/07-rinsen	渋谷区	臨川みんなの図書館	渋谷区広尾一丁目 9-17	1
13-shibuya/08-yoyogi	渋谷区	代々木図書館	渋谷区代々木三丁目 51-8	1
13-shibuya/09-sasazuka-kodomo	渋谷区	笹塚こども図書館	渋谷区笹塚三丁目 3-1	-1
14-nakano/00-central	中野区	中央図書館	中野区中野二丁目 9-7	1
14-nakano/01-honcho	中野区	本町図書館	中野区本町二丁目 13-2	1
14-nakano/02-nogata	中野区	野方図書館	中野区野方三丁目 19-5	1
14-nakano/03-minamidai	中野区	南台図書館	中野区南台三丁目 26-18	1
14-nakano/04-saginomiya	中野区	鷺宮図書館	中野区鷺宮三丁目 22-5	1
14-nakano/05-higashinakano	中野区	東中野図書館	中野区東中野一丁目 35-5	1
14-nakano/06-egota	中野区	江古田図書館	中野区江古田二丁目 1-11	1
14-nakano/07-kamitakada	中野区	上高田図書館	中野区上高田五丁目 30-15	1
15-suginami/00-central	杉並区	中央図書館	杉並区荻窪三丁目 40-23	1
15-suginami/01-eifuku	杉並区	永福図書館	杉並区永福四丁目 25-7	1
15-suginami/02-kakinoki	杉並区	柿木図書館	杉並区上井草一丁目 6-13	1
15-suginami/03-koenji	杉並区	高円寺図書館	杉並区高円寺南二丁目 36-25	1
15-suginami/04-miyamae	杉並区	宮前図書館	杉並区宮前五丁目 5-27	1
15-suginami/05-narita	杉並区	成田図書館	杉並区成田東三丁目 28-5	1
15-suginami/06-nishiogi	杉並区	西荻図書館	杉並区西荻北二丁目 33-9	1
15-suginami/07-asagaya	杉並区	阿佐谷図書館	杉並区阿佐谷北三丁目 36-14	1
15-suginami/08-minamiogikubo	杉並区	南荻窪図書館	杉並区南荻窪一丁目 10-2	1
15-suginami/09-shimoigusa	杉並区	下井草図書館	杉並区下井草三丁目 26-5	1
15-suginami/10-takaido	杉並区	高井戸図書館	杉並区高井戸東一丁目 28-1	1
15-suginami/11-honan	杉並区	方南図書館	杉並区方南一丁目 51-2	1
15-suginami/12-imagawa	杉並区	今川図書館	杉並区今川四丁目 12-10	1
15-suginami/13-takaido-center	杉並区	高井戸地域区民センター図書室	杉並区高井戸東三丁目 7-5	1
15-suginami/14-wada	杉並区	和田図書サービスコーナー	杉並区和田二丁目 31-21	1
15-suginami/15-koenji-ekimae	杉並区	高円寺駅前図書サービスコーナー	杉並区高円寺北二丁目 5-1 ホテルメッツ内	1
15-suginami/16-sakurajosui	杉並区	桜上水北図書サービスコーナー	杉並区下高井戸一丁目 24-15	1
16-toshima/00-central	豊島区	中央図書館	豊島区東池袋四丁目 5-2 ライズアリーナビル 4, 5 階	1
16-toshima/01-komagome	豊島区	駒込図書館	豊島区駒込二丁目 2-2	1
16-toshima/02-kamiikebukuro	豊島区	上池袋図書館	豊島区上池袋二丁目 45-15	1
16-toshima/03-chihaya	豊島区	千早図書館	豊島区千早二丁目 44-2	1
16-toshima/04-sugamo	豊島区	巣鴨図書館	豊島区巣鴨三丁目 8-2	1
16-toshima/05-ikebukuro	豊島区	池袋図書館	豊島区池袋三丁目 29-10	1
16-toshima/06-mejiro	豊島区	目白図書館	豊島区目白四丁目 31-8	1
16-toshima/07-zoushigaya	豊島区	雑司が谷図書貸出コーナー	豊島区雑司が谷三丁目 1-7	-1
17-kita/00-central	北区	中央図書館	北区十条台一丁目 2-5	1
17-kita/01-central-branch	北区	中央図書館分室	北区豊島一丁目 14-12 王子区民センター 2 階	1
17-kita/02-takinogawa	北区	滝野川図書館	北区西ヶ原一丁目 23-3 滝野川会館地下 1 階	1
17-kita/03-akabane	北区	赤羽図書館	北区赤羽南一丁目 13-1 赤羽会館 5 階	1
17-kita/04-ukima	北区	浮間図書館	北区浮間一丁目 8-2 102 都営住宅 1 階部分	1
